Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Butch Graves,1985,1985,1,4,1.3,0.5,0.3,33.3,0.0,20.0,33.3,-0.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Gray,2008,2014,7,318,3.4,3.7,0.7,50.9,0.0,56.2,50.9,11.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Devin Gray,1997,2000,4,27,2.5,1.4,0.3,36.5,23.4,61.8,36.5,11.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ed Gray,1998,1999,2,60,6.2,1.2,0.8,33.9,34.1,81.4,37.8,9.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Evric Gray,1997,1997,1,5,2.6,0.6,0.4,26.7,25.0,100.0,30.0,2.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Stuart Gray,1985,1991,7,386,2.3,2.6,0.4,44.6,0.0,66.3,44.6,8.6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Sylvester Gray,1989,1989,1,55,8.0,5.2,2.1,42.0,25.0,67.3,42.1,11.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeff Grayer,1989,1998,10,438,7.4,3.0,1.4,45.7,25.5,66.3,46.3,12.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A.C. Green,1986,2001,16,1278,9.6,7.4,1.1,49.4,25.4,73.4,50.1,14.4,99.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
Devin Green,2006,2006,1,27,0.9,0.9,0.3,21.4,0.0,61.9,21.4,4.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
